timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound cap.pressure cap.pressure.connected Ca eff.pressure
500000 0.14515 688.14 -1.049 680.67 -0.024382 -0.0093926 -5.1312 561.12 -0.97426 0.10629 0.117 8.6736e-05 0.25655
500000 0.15409 638.17 -1.1621 630.74 -0.028457 -0.0071336 -5.3395 517.38 -1.0658 0.10044 0.11139 9.3622e-05 0.27403
500000 0.16301 604.26 -1.1872 597.12 -0.11213 -0.00061386 -3.4939 487.68 -1.0257 0.093568 0.10954 9.5687e-05 0.28638
500000 0.17206 585.81 -1.1741 577.22 -0.12717 0.0082631 -3.0523 470.63 -1.0121 0.087763 0.10297 9.805e-05 0.29208
500000 0.18117 530.09 -1.3442 522.4 -0.11987 0.0048156 -3.6463 425.49 -1.1091 0.083563 0.098056 9.1328e-05 0.31981
500000 0.19038 514.39 -1.282 509.6 -0.091207 0.003027 -3.6137 411.49 -1.0735 0.080131 0.094185 9.8228e-05 0.32558
500000 0.19941 440.22 -0.69578 436.63 -0.065777 -0.0045422 -1.6712 355.86 -0.5971 0.0765 0.088488 8.6918e-05 0.37458
500000 0.2086 421.5 -0.25988 417.67 -0.070735 0.0019115 -0.045203 338.42 -0.26734 0.072887 0.084241 9.725e-05 0.38517
500000 0.21743 404.88 -0.5725 401.25 -0.049843 0.0014369 -1.2882 325.52 -0.5162 0.07108 0.078933 9.6873e-05 0.39761
500000 0.22624 395.25 -0.51068 391.77 -0.096109 0.00091032 -0.68467 316.6 -0.42781 0.068261 0.075524 9.8799e-05 0.40244
500000 0.23511 384.72 -0.32415 381.23 -0.13164 -0.0086445 0.029684 307.27 -0.24814 0.065439 0.071235 9.863e-05 0.40803
500000 0.24379 365.76 -0.22208 362 -0.14316 -0.00065929 0.34016 290.97 -0.13143 0.064189 0.069051 9.6246e-05 0.42394
500000 0.2524 332.28 -0.38668 328.87 -0.11867 -0.00076323 -0.22528 264.14 -0.28294 0.063332 0.067438 9.1749e-05 0.46207
500000 0.26077 323.51 -0.17267 320.19 -0.095552 -0.0011169 0.14374 256.3 -0.076358 0.062826 0.067157 9.8654e-05 0.46837
500000 0.26932 306.98 -0.21672 300.29 -0.06961 0.0017468 -0.09688 243.16 -0.10361 0.061502 0.065793 9.5963e-05 0.48808
500000 0.27789 295.7 0.028483 293.01 -0.044648 -0.0083002 0.24228 233.34 0.18569 0.060777 0.064937 9.7679e-05 0.49967
