timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.film eff.perm.water.film eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.connected.upper.bound eff.perm.water.connected.upper.bound eff.perm.oil.connected.lower.bound eff.perm.water.connected.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected cap.pressure cap.pressure.connected pressure.drop Ca M eff.pressure
500000 0.14515 3.9332 -0.035313 3.2072 -0.032796 2.7417 -0.0047603 3.3623 -0.0051256 3.8905 -0.00082077 3.3258 -0.00011913 -4.5893e-05 -0.025072 0.10629 0.117 4.2367e-06 8.6736e-05 1 0.25655
500000 0.15409 3.6861 -0.036848 2.9884 -0.033797 2.5279 -0.0052078 3.1181 -0.0056778 3.6432 -0.00090237 3.0818 -0.00013904 -3.4855e-05 -0.026089 0.10044 0.11139 4.8846e-06 9.3622e-05 1 0.27403
500000 0.16301 3.5275 -0.035583 2.8469 -0.030743 2.3828 -0.0050115 2.9524 -0.0058005 3.4858 -0.0033608 2.9175 -0.00054785 -2.9994e-06 -0.017071 0.093568 0.10954 5.2174e-06 9.5687e-05 1 0.28638
500000 0.17206 3.4571 -0.033343 2.7774 -0.028742 2.2995 -0.0049452 2.8623 -0.0057369 3.4064 -0.0036113 2.8203 -0.00062136 4.0374e-05 -0.014914 0.087763 0.10297 5.4526e-06 9.805e-05 1 0.29208
500000 0.18117 3.1631 -0.036252 2.5389 -0.029911 2.0789 -0.0054191 2.5901 -0.0065679 3.1172 -0.0032328 2.5525 -0.00058569 2.3529e-05 -0.017816 0.083563 0.098056 5.561e-06 9.1328e-05 1 0.31981
500000 0.19038 3.1044 -0.032901 2.4833 -0.02755 2.0106 -0.005245 2.5133 -0.0062639 3.0755 -0.0023407 2.4899 -0.00044564 1.479e-05 -0.017657 0.080131 0.094185 6.089e-06 9.8228e-05 1 0.32558
500000 0.19941 2.6867 -0.017048 2.1718 -0.01463 1.7387 -0.0029174 2.1509 -0.0033996 2.6648 -0.0016099 2.1334 -0.00032103 -2.2193e-05 -0.0081698 0.0765 0.088488 6.1989e-06 8.6918e-05 1 0.37458
500000 0.2086 2.6023 -0.0060873 2.0893 -0.0062622 1.6535 -0.0013063 2.0595 -0.0012698 2.5787 -0.0016587 2.0408 -0.00034599 9.3398e-06 -0.00021697 0.072887 0.084241 7.1319e-06 9.725e-05 1 0.38517
500000 0.21743 2.5279 -0.012865 2.0324 -0.0116 1.5905 -0.0025222 1.9783 -0.0027973 2.5053 -0.0011606 1.9605 -0.00025234 7.0209e-06 -0.0062232 0.07108 0.078943 7.3336e-06 9.6873e-05 1 0.39761
500000 0.22624 2.4959 -0.011029 1.9992 -0.0092392 1.5469 -0.0020903 1.9312 -0.0024952 2.4641 -0.0020774 1.9066 -0.00047 1.5774e-05 -0.0033423 0.068261 0.075529 7.5703e-06 9.8799e-05 1 0.40244
500000 0.23511 2.4576 -0.0067366 1.9628 -0.0051568 1.5013 -0.0012124 1.8798 -0.0015838 2.424 -0.0025754 1.8541 -0.00060549 -4.5904e-05 -4.6506e-05 0.065439 0.071233 7.6623e-06 9.863e-05 1 0.40803
500000 0.24379 2.3633 -0.0044509 1.88 -0.0026341 1.4217 -0.00064218 1.7871 -0.0010851 2.339 -0.0027848 1.7688 -0.00067889 -3.2213e-06 0.0016151 0.064189 0.069035 7.7687e-06 9.6246e-05 1 0.42394
500000 0.2524 2.1717 -0.0074855 1.7263 -0.0054772 1.2906 -0.0013825 1.6235 -0.0018893 2.1494 -0.0026616 1.6069 -0.0006718 -3.7292e-06 -0.00041313 0.063332 0.067464 8.0717e-06 9.1749e-05 1 0.46207
500000 0.26077 2.1383 -0.0032353 1.694 -0.0014307 1.2523 -0.00037309 1.5807 -0.00084367 2.1077 -0.0024221 1.5581 -0.0006316 -4.1627e-05 0.0018662 0.062826 0.067235 8.7976e-06 9.8654e-05 1 0.46837
500000 0.26932 2.0528 -0.0039317 1.626 -0.0018797 1.1881 -0.00050624 1.4999 -0.0010589 1.9995 -0.0013615 1.461 -0.00036669 -2.0392e-06 -0.00023681 0.061502 0.065808 8.9177e-06 9.5963e-05 1 0.48808
500000 0.27789 2.0008 0.0005008 1.5789 0.0032649 1.1401 0.0009073 1.4448 0.00013917 1.9756 -0.0017785 1.4266 -0.00049422 -0.00011193 0.0027685 0.060777 0.065925 9.2928e-06 9.7679e-05 1 0.49967
