sw radius
0.966921 19.728232
0.962698 18.741820
0.957053 17.804729
0.948771 16.914493
0.944482 16.068768
0.940780 15.265330
0.929800 14.502063
0.911155 13.776960
0.906656 13.088112
0.898763 12.433706
0.888611 11.812021
0.850160 11.221420
0.812940 10.660349
0.800640 10.127332
0.791292 9.620965
0.783725 9.139917
0.773305 8.682921
0.765742 8.248775
0.744853 7.836336
0.737166 7.444519
0.726425 7.072293
0.678436 6.718679
0.778221 6.382745
0.705325 6.063607
0.643416 5.760427
0.635504 5.472406
0.617572 5.198785
0.527619 4.938846
0.506367 4.691904
0.422971 4.457309
0.414895 4.234443
0.379810 4.022721
0.359080 3.821585
0.337238 3.630506
0.318512 3.448981
0.310903 3.276531
0.226178 3.112705
0.226158 2.957070
0.183284 2.809216
